a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,lat,long
143143,122122,145149,180182,172180,94096,133133,157169,153155,111111,-114.29,48.77
143151,122122,149151,180184,172180,94098,133133,171171,155155,105109,-112.5,46.36
143151,122122,147147,182182,172172,96098,133133,169169,155155,109113,-114.21,46.47
143143,122124,145145,178184,172172,96098,133133,169169,155155,111111,-110.95,45.3
143151,124124,145145,180182,172172,90092,133135,171175,153155,113113,-114.75,48.96
143151,124124,145149,182184,180180,92096,133137,157169,155155,109113,-114.96,48.97
143143,122124,149149,178182,180180,94096,133133,157175,153155,109113,-113.21,46.91
143151,122122,149149,182182,172180,94094,133141,157169,155155,113113,-113.61,47.84
143151,122122,145149,184184,172176,92094,133133,169171,153153,113113,-111.15,46.45
143143,122124,145149,182182,178180,90102,133137,167171,155155,111113,-114.66,48.8
143151,122122,145145,178184,172172,94096,133133,157169,155155,105109,-110.93,45.61
143143,122126,145149,178184,172176,92092,133133,169171,149153,113113,-112.94,46.27
143143,122124,145149,182182,176178,92102,133137,157157,155155,111111,-114.77,48.97
143143,122122,145145,178184,172176,92092,133133,171171,153155,113113,-110.87,45.09
143143,122122,145151,180182,180180,92094,133133,169171,155155,111113,-112.08,45.71
143151,122124,145151,184184,172180,92092,133133,157171,155155,111113,-113.39,47.52
143143,122124,149149,182184,172180,92094,133137,171171,155155,111113,-114.14,48.48
143143,128128,145145,184184,172176,92092,133133,171171,153155,113113,-110.93,45.5
143143,128128,147147,178182,172182,94094,133137,169171,155155,111113,-110.71,46.9
133143,122122,151151,178182,178180,92098,133145,157169,155155,113113,-113.81,47.52
143143,122124,145145,178178,176182,96096,133137,169169,155157,113113,-110.97,47.16
143143,122122,145145,178184,172176,92098,133133,169171,155155,113113,-111.2,44.6
143143,122122,145151,182182,172178,94096,133133,157157,155155,111111,-114.96,48.98
143151,122122,145145,178182,172182,94094,133137,169171,155155,111113,-110.62,46.76
143151,122122,145149,178184,172178,94094,133135,157157,153155,111111,-113.78,48.01
151151,122122,149151,182182,172180,92092,133133,157175,153155,109111,-114.58,48.49
143151,122122,145145,178182,172172,92098,133133,157171,155157,113113,-111.15,45.26
151151,122122,145145,180184,172178,94094,133133,169169,155155,113113,-113.56,47.39
143151,122122,145145,178184,172172,92094,133133,157169,153155,109113,-111.43,44.89
143151,122122,145151,182184,172172,92092,133133,157169,155155,109113,-111.25,44.89
143143,122122,145145,178182,176182,94094,133133,169171,155155,113113,-110.71,46.9
143151,122122,145149,182182,172180,92092,133133,157175,155155,111113,-113.36,47.23
143143,124124,145145,178178,176176,94094,133137,169169,155155,113113,-111.59,46.8
143143,122122,145145,178184,172176,92098,133133,169171,155155,113113,-110.78,45.48
143143,122122,149149,178178,176182,96096,133133,169169,155157,111113,-110.51,46.08
133151,122122,149153,164164,172178,94094,133133,157169,155155,107113,-109.41,45.62
143151,122122,149149,164164,172172,92092,133137,171171,155155,109111,-113.36,47.23
133143,122124,145149,164164,178180,92098,133137,169171,153155,105109,-114.77,47.29
143151,122122,145149,182184,172180,94096,133133,169171,153155,109109,-111,45.98
133143,122122,145151,164164,178180,92098,133133,157171,155155,105111,-112.23,46.39
143151,122122,145145,164164,172182,92096,133137,169171,155155,111113,-110.39,46.02
133151,118122,145145,184184,172180,94096,133133,169171,155155,111111,-113.49,48.23
143151,122124,145145,178178,182182,96096,133137,169171,155155,111113,-110.31,46.18
143151,122122,149151,180184,180180,94094,133133,171171,155155,109111,-112.44,46.41
143143,122122,145145,178178,176176,92092,133133,171171,155155,109113,-110.99,45.29
143151,122122,147147,184184,178180,92094,133133,157175,155155,111113,-113.75,48.38
143151,122124,145149,178182,172180,94096,133137,171171,153155,109111,-114.16,48.54
143143,122122,145145,178182,172172,94098,133133,169171,155155,113113,-111.07,45.52
143143,122122,145145,178178,176182,90090,133137,169171,155155,111113,-110.36,46.18
143151,122122,147147,178182,172176,96096,133133,169169,155155,113113,-110.6,46.92
143151,122122,145151,182184,172178,94098,133133,157171,155155,105113,-114.03,48.36
143143,122122,145145,184184,172176,94094,133133,171171,153155,113113,-111.08,45.11
143151,122124,145149,182182,172180,94094,133143,171171,153155,109111,-114.42,48.79
143143,122124,149151,182184,172172,96096,133137,169171,155155,111111,-114.77,48.9
143151,122122,145151,182184,172180,96098,133133,169169,155155,109113,-110.85,45.08
143143,122122,145145,184184,172176,94096,133133,171171,155155,109113,-110.95,45.9
143143,124124,149149,178184,180180,96096,133143,171171,155155,109109,-114.68,49
143151,122122,147149,178182,172172,94098,133133,169171,155155,105109,-115.61,48.29
151151,124124,145149,178178,172182,94098,133133,167169,153153,109113,-111.15,46.45
143143,122122,145145,178184,172172,92092,133133,171171,153155,113113,-112.58,45.74
151151,122122,147147,182184,172180,94094,133133,157169,155155,111113,-112.77,47.86
143151,122122,147147,178182,172176,96098,137137,169169,155155,113113,-110.68,46.79
143143,122122,145145,178184,172172,94094,133133,169169,155155,113113,-110.92,46.9
143143,122124,145149,182184,178180,94096,137137,171171,153155,109109,-114.44,48.77
143143,122124,147147,178182,172176,96098,133137,169171,155155,113113,-110.73,46.86
143143,122122,145145,178178,172172,98098,133133,157169,155155,109113,-111.15,45.26
143143,122122,145149,182184,172178,94098,133133,157171,155155,105113,-113.47,47.3
143143,122122,145151,178184,172176,94098,133133,169171,155155,113113,-110.93,45.5
143143,122124,147153,178178,176182,96096,137137,169169,155155,113113,-110.96,46.9
143143,122122,145151,178184,172176,94098,133133,169171,155155,109113,-110.93,45.61
143143,122122,145149,182184,172172,94098,133133,169171,153155,109113,-110.83,45.72
143143,122122,145145,182184,172172,94094,135135,157169,155155,111113,-112.4,46.37
133151,122124,145145,178184,178178,94094,133133,169169,151151,109109,-113.82,46.6
143143,122122,145151,178182,172172,94096,133133,169171,149149,109113,-114.81,47.01
143143,122122,147147,178182,172180,94096,133133,169169,149149,113113,-110.87,45.05
143151,122122,145145,182184,176180,94094,133133,171171,153155,113113,-110.93,45.61
143151,122122,145151,178182,172180,94094,133133,169169,155155,105111,-113.13,46.65
143151,122122,145145,182184,176180,94094,133133,171171,153155,113113,-111.37,44.91
143143,122122,145145,178178,176176,94098,133133,171171,155155,113113,-111.37,44.91
143151,122122,145151,182184,172172,94098,133133,169169,155155,109109,-110.62,46.92
133133,122124,145149,182182,178178,94096,133133,169171,155155,113113,-113.07,46.32
143143,122122,145145,178182,172172,94098,133133,169171,155155,113113,-110.97,45.43
133143,120122,149151,178184,178180,96096,133135,171171,155155,109111,-113.84,48.23
151151,124124,149151,182182,178180,94094,133133,169171,155155,113113,-112.6,46.86
143151,122122,145145,178178,172182,96098,133137,169169,155155,111113,-110.44,46.19
143143,122122,151151,182184,172176,94094,133133,169171,155155,109113,-113.11,46.23
143143,122122,145145,178178,172182,94098,133133,169169,155155,113113,-111.08,45.11
143143,122124,145147,178182,176182,96096,133137,169171,155155,109113,-110.56,46.92
